Article_ID,Area,Scaffale,Colonna,Piano,Quantity,Location
45503176,A,E,01,4,84,A-E-01-4
0AC902LE,A,C,01,3,39,A-C-01-3
0AC902LE,A,X,01,0,2,A-X-01-0
45503157,A,A,03,2,1,A-A-03-2
54643030,A,A,05,4,50,A-A-05-4
54643030,A,A,08,1,11,A-A-08-1
54643033,A,A,04,1,22,A-A-04-1
0AC712FI,A,B,03,1,7,A-B-03-1
54642005,A,C,05,4,1340,A-C-05-4
0SW816MI,A,E,05,3,330,A-E-05-3
22303008,A,E,04,5,314,A-E-04-5
40141308,A,E,03,3,13,A-E-03-3
58102169,A,E,03,3,132,A-E-03-3
91208460,A,E,03,3,54,A-E-03-3
91208460,A,S,01,0,2,A-S-01-0
57002000,A,E,03,2,7362,A-E-03-2
14886950,A,E,03,2,7,A-E-03-2
66319006,A,E,03,1,5133,A-E-03-1
66319015,A,E,03,1,980,A-E-03-1
17301772,A,E,02,3,4,A-E-02-3
17301772,A,S,01,0,1,A-S-01-0
17301810,A,E,02,3,32,A-E-02-3
0AC955AS,A,C,04,1,10,A-C-04-1
14887030,A,E,02,2,53,A-E-02-2
RFI13409,A,B,01,1,3,A-B-01-1
0P99M4KM,A,X,01,0,2,A-X-01-0
45503149,A,E,02,4,20,A-E-02-4
